scheme,kem_keygen_ms,kem_encap_ms,kem_decap_ms,sig_keygen_ms,sign_ms,verify_ms,kem_public_key_bytes,kem_ciphertext_bytes,signature_bytes
ML-KEM-768 + ML-DSA-65 (PQC),0.3015599970240146,0.19521333160810173,0.09338666956561306,0.3846266636780153,0.8783366647548974,0.2150666667148471,1184,1088,3309
RSA-3072 + ECDSA-P256 (classical),322.6993800043905,0.5036599953503659,2.9819500031104935,0.24651333418053883,0.617776665603742,0.1435000003160288,422,384,71.16666666666667
