num_tasks,seed,optimal_cost,greedy_cost,greedy_ratio,sa_cost,sa_ratio,qaoa_cost,qaoa_ratio,qaoa_time_sec,qaoa_evaluations
4,0,4.227136,4.227136,1.0,4.227136,1.0,4.227136,1.0,2.1287179999635555,97
4,1,2.982529000000001,2.982529000000001,1.0,2.982529000000001,1.0,2.982529000000001,1.0,1.9838879000162706,73
4,2,3.6902410000000043,3.6902410000000043,1.0,3.6902410000000043,1.0,3.6902410000000043,1.0,1.669460600009188,54
4,3,1.100401,1.100401,1.0,1.100401,1.0,1.100401,1.0,1.8886227999464609,61
4,4,8.386815999999994,8.386815999999994,1.0,8.386815999999994,1.0,8.386815999999994,1.0,1.5422063999576494,60
6,0,1.0815999999999992,4.528384000000003,0.23884900220475971,1.0815999999999992,1.0,1.0815999999999992,1.0,2.0576435000402853,52
6,1,0.7673759999999986,0.7673759999999986,1.0,0.7673759999999986,1.0,0.7673759999999986,1.0,2.489002900023479,48
6,2,4.769856000000001,4.769856000000001,1.0,4.769856000000001,1.0,4.769856000000001,1.0,2.6991926999762654,70
6,3,2.7027359999999887,2.7027359999999887,1.0,3.076515999999986,0.8785054262678955,2.7027359999999887,1.0,1.9325726000242867,50
6,4,0.0015209999999999768,0.0015209999999999768,1.0,0.5343609999999972,0.0028463903615720174,0.0015209999999999768,1.0,2.073676500003785,58
8,0,0.013224999999999845,2.289169000000008,0.0057772056147885106,2.289169000000008,0.0057772056147885106,0.013224999999999845,1.0,3.3271416000206955,59
8,1,0.004623999999999888,19.80250000000001,0.00023350587047089438,0.004623999999999888,1.0,0.004623999999999888,1.0,3.316743100003805,57
8,2,1.092025000000004,15.124320999999995,0.07220324138848973,2.2230809999999983,0.4912214174832158,1.092025000000004,1.0,3.0811792999738827,57
8,3,0.4747210000000025,1.7875690000000017,0.265567930524641,0.4747210000000025,1.0,0.4747210000000025,1.0,3.216274300008081,47
8,4,0.11560000000000126,25.200400000000013,0.00458722877414649,0.9063039999999994,0.12755102040816474,0.11560000000000126,1.0,3.551325399952475,67
10,0,0.002704000000000051,0.6021759999999956,0.0044903815495803065,0.0912040000000003,0.029647822463927484,0.002704000000000051,1.0,4.757467299990822,54
10,1,0.00022499999999996375,1.8306089999999993,0.0001229099168637125,0.3684490000000013,0.0006106679621873392,0.00022499999999996375,1.0,4.589901999977883,56
10,2,0.0007840000000001257,0.008836000000000224,0.08872793119059595,0.8911359999999948,0.0008797759264580606,0.0007840000000001257,1.0,4.9763690999825485,49
10,3,0.000624999999999929,36.63880900000001,1.70584147535999e-05,3.3087609999999965,0.00018889245853657296,0.000624999999999929,1.0,5.295816000027116,56
10,4,0.005775999999999943,9.302500000000032,0.0006209083579682798,0.015376000000000358,0.3756503642039417,0.005775999999999943,1.0,4.605881800001953,56
12,0,0.00014400000000001093,1.1320960000000095,0.00012719769348183344,0.1730560000000025,0.0008321005917160274,0.00014400000000001093,1.0,8.842000399949029,47
12,1,3.999999999989349e-06,3.9680639999999974,1.0080482572834894e-06,0.19713600000000056,2.0290560831047287e-05,3.999999999989349e-06,1.0,7.875595399993472,52
12,2,0.005928999999999583,0.07128899999999828,0.08316851127101973,0.2777290000000001,0.02134814873491634,0.007568999999999801,0.7833267274408428,7.65300120000029,50
12,3,0.0012960000000000983,3.496899999999994,0.00037061397237556136,0.26832399999999884,0.004829981663958885,0.0012960000000000983,1.0,7.520533900009468,47
12,4,0.002600999999999744,4.305624999999993,0.0006040934823631292,0.04972899999999994,0.052303484888088385,0.002600999999999744,1.0,8.238248999987263,50
14,0,2.4999999999976728e-05,1.9628009999999907,1.273689997099902e-05,0.20520899999999986,0.00012182701538420218,2.4999999999976728e-05,1.0,17.807550699973945,50
14,1,1.5999999999991146e-05,1.557504000000001,1.0272846811302658e-05,0.6593440000000008,2.4266543716165045e-05,0.00846400000000022,0.0018903591682408708,14.464872599986847,49
14,2,0.00019599999999999414,0.7499560000000017,0.0002613486657883845,0.1354239999999986,0.001447306238185227,0.00019599999999999414,1.0,16.90229250001721,59
14,3,0.0003609999999998783,2.9343689999999905,0.0001230247456948596,0.05904900000000091,0.006113566698841178,0.0005289999999999755,0.6824196597351513,16.821197299985215,56
14,4,1.6000000000010685e-05,0.03841600000000268,0.00041649312786363937,0.35999999999999316,4.4444444444474974e-05,1.6000000000010685e-05,1.0,15.112646499997936,54
